City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,anadyr,64.75,177.4833,25.743000000000002,71,0,5.0,RU,1711760648
126,prabumulih,-3.45,104.25,29.894,92,100,0.69,ID,1711760648
127,noshiro,40.2039,140.0242,28.261000000000003,77,99,9.62,JP,1711760648
128,gornyye klyuchi,45.25,133.5,27.548000000000002,50,100,6.04,RU,1711760648
129,glazov,58.1394,52.6584,27.139,95,97,4.34,RU,1711760649
130,artemisa,22.814,-82.7561,29.525,57,0,6.33,CU,1711760649
131,sinabang,2.4803,96.3801,29.988999999999997,83,100,1.53,ID,1711760649
132,bredasdorp,-34.5322,20.0403,29.024,87,24,4.09,ZA,1711760650
133,mirnyy,62.5353,113.9611,25.574,89,7,0.15,RU,1711760650
134,carver,44.8,-93.7836,28.032,55,100,3.8,US,1711760650
135,shiguai,40.7058,110.2856,27.951,32,32,0.74,CN,1711760651
136,porto novo,6.4965,2.6036,30.160000000000004,85,100,4.62,BJ,1711760578
137,hamilton,39.1834,-84.5333,28.926,47,0,0.0,US,1711760569
138,pandan,14.0453,124.1694,30.087,65,100,3.72,PH,1711760652
139,inhambane,-23.865,35.3833,29.544,85,5,2.7,MZ,1711760652
140,olonkinbyen,70.9221,-8.7187,26.781,66,100,8.02,SJ,1711760652
141,fort bragg,35.139,-79.006,29.147000000000002,37,0,3.09,US,1711760410
142,ulladulla,-35.35,150.4667,29.613,60,0,2.35,AU,1711760509
143,beyneu,45.3167,55.2,27.637,62,8,1.74,KZ,1711760653
144,invercargill,-46.4,168.35,28.705000000000002,80,66,1.79,NZ,1711760654
145,daru,-9.0763,143.2092,30.267000000000003,74,92,0.52,PG,1711760654
146,lebu,-37.6167,-73.65,28.601999999999997,78,95,9.1,CL,1711760497
147,avarua,-21.2078,-159.775,30.318,74,100,4.63,CK,1711760654
148,port alfred,-33.5906,26.891,29.047000000000004,96,35,6.51,ZA,1711760654
149,camiri,-20.05,-63.5167,29.625999999999998,54,75,1.66,BO,1711760655
150,westport,41.1415,-73.3579,27.944,52,3,5.36,US,1711760499
151,shingu,33.7333,135.9833,29.324,49,3,0.83,JP,1711760655
152,mili,6.0815,171.735,30.144,79,100,8.84,MH,1711760656
153,as sulayyil,20.4607,45.5779,29.529000000000003,26,35,4.86,SA,1711760656
154,vuktyl,63.8567,57.3094,27.154000000000003,93,100,7.6,RU,1711760656
155,chongjin,41.7956,129.7758,27.944,35,0,0.97,KP,1711760656
156,crane,31.3974,-102.3501,29.849,14,100,3.22,US,1711760657
157,port elizabeth,-33.918,25.5701,29.264999999999997,95,40,2.57,ZA,1711760416
158,qarazhal,48.0078,70.7903,27.32,94,100,7.04,KZ,1711760657
159,guajara mirim,-10.7828,-65.3394,29.572000000000003,99,100,1.04,BR,1711760657
160,canutama,-6.5339,-64.3831,29.755000000000003,97,100,0.22,BR,1711760640
161,mossel bay,-34.1831,22.146,29.156,84,98,4.01,ZA,1711760658
162,wakkanai,45.4094,141.6739,27.931,82,75,7.15,JP,1711760658
163,enewetak,11.3474,162.3373,30.031,78,100,8.69,MH,1711760658
164,rongelap,11.1635,166.8941,30.029000000000003,74,98,8.75,MH,1711760659
165,hafnarfjordur,64.0671,-21.9377,27.308,59,0,6.17,IS,1711760659
166,sungailiat,-1.85,106.1333,30.144,80,100,3.2,ID,1711760659
167,lata,40.1629,-8.3327,28.264,96,100,1.99,PT,1711760659
168,puerto aysen,-45.4,-72.7,27.927,98,98,2.68,CL,1711760659
169,tiksi,71.6872,128.8694,24.847,92,100,4.52,RU,1711760660
170,arraial do cabo,-22.9661,-42.0278,29.762999999999998,91,100,7.03,BR,1711760660
171,talcahuano,-36.7167,-73.1167,28.897000000000002,67,20,5.14,CL,1711760407
172,ouddorp,51.8117,3.9347,28.482999999999997,80,100,7.31,NL,1711760661
173,chernyshevskiy,63.0128,112.4714,25.318,92,14,1.04,RU,1711760661
174,east london,-33.0153,27.9116,29.409,69,90,4.71,ZA,1711760661
